label_dod_occ_code,label_industry,y1_emp,y5_emp,y10_emp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings
Health Care Specialists,Public Administration,0.08943747470659652,0.10461604831751511,0.07485802787816212,0.20824579831932777,0.235307163450876,0.3695271453590193,0.23787110789283128,0.2754491017964072,0.3343900966183575,0.2654545454545455,0.2670682730923695,0.33691194209891434
Health Care Specialists,Federal Government,0.20254957507082152,0.12920621225194132,0.09370160041300982,0.28361344537815125,0.30006653359946767,0.36361646234676015,0.3124547429398986,0.31414094887148775,0.366243961352657,0.30850909090909096,0.2918733758563667,0.2919179734620024
Other Allied Professions,Construction,0.05787130716309187,0.056729939603106135,0.03562209602478059,0.12316176470588236,0.09447771124417831,0.09916812609457093,0.12110789283128165,0.12144940887455857,0.1595712560386473,0.1464727272727273,0.1539097566737539,0.10349819059107351
Other Allied Professions,Manufacturing,0.20740590853905302,0.159404659188956,0.11306143520908621,0.05567226890756305,0.004213794632956291,0.01663747810858146,0.04960173787110789,0.0033778596652848103,0.004679951690821249,0.06094545454545458,0.045594141270966226,0.008082026537997555
Other Allied Professions,Wholesale Trade,0.45507891541885875,0.31751509922346854,0.19695405265875066,0.2597163865546218,0.27811044577511645,0.29794220665499127,0.2880159304851556,0.30293259634577,0.3060084541062802,0.3303272727272727,0.3034490904795653,0.2854041013268998
Other Allied Professions,Retail Trade,0.40428976123027116,0.5071182053494392,0.43856479091378425,0.31381302521008403,0.40164116212020395,0.4435201401050788,0.2872918175235336,0.32504222324581605,0.3845108695652174,0.23869090909090906,0.30746515473659347,0.3556091676718938
Other Allied Professions,Transportation and Warehousing,0.03136382031566168,0.028041415012942196,0.014197212183789366,0.6465336134453783,0.5092038145930361,0.8739054290718039,0.64210716871832,0.7045908183632734,0.8594504830917874,0.6212363636363636,0.692062367115521,0.8745476477683956
Other Allied Professions,Information,0.010117361392148928,0.007981018119068161,0.005162622612287043,0.49264705882352944,0.677533821246396,0.7160683012259196,0.447139753801593,0.6264394288346384,0.6621376811594203,0.47621818181818176,0.625797306874557,0.738238841978287
Other Allied Professions,Finance and Insurance,0.2802509105625253,0.17471958584987057,0.10867320598864225,0.25210084033613445,0.31315147482812156,0.4209719789842382,0.26013758146270816,0.32166436358053124,0.4192330917874396,0.2772363636363636,0.3553035672100165,0.37949336550060314
Other Allied Professions,"Professional, Scientific, and Technical Services",0.08842573856738163,0.07808455565142364,0.051368094992256065,0.22951680672268915,0.27434020847194496,0.38922942206655,0.24583635047067343,0.27176416397973285,0.4314613526570048,0.27287272727272727,0.2716749350342547,0.42689987937273827
Other Allied Professions,Management of Companies and Enterprises,0.198097936058276,0.14603106125970663,0.08905524006195148,0.0737920168067227,0.07984031936127745,0.08822241681260945,0.07657494569152784,0.10456011054813447,0.10628019323671495,0.09934545454545457,0.11622962437987244,0.09143546441495781
Other Allied Professions,"Administrative and Support and Waste
Management and Remediation Services",0.11736139214892757,0.08498705780845556,0.05730511099638617,0.201155462184874,0.3056110002217787,0.25087565674255696,0.20763939174511226,0.31629049593121444,0.28577898550724634,0.2445090909090909,0.30498464446019374,0.2624849215922798
Other Allied Professions,Educational Services,0.024484014569000408,0.02696289905090595,0.019101703665462058,0.3177521008403361,0.3559547571523619,0.50284588441331,0.2883779869659666,0.3388607400583448,0.5427234299516908,0.3176727272727272,0.35849279470824474,0.4938480096501809
Other Allied Professions,Health Care and Social Assistance,0.025698097936058276,0.028904227782571186,0.019876097057305114,0.1743697478991597,0.28919937901973825,0.40170753064798603,0.20220854453294712,0.2995547366804851,0.4316123188405797,0.24,0.29305457122608075,0.4177322074788902
Other Allied Professions,Accommodation and Food Services,0.12282476730068798,0.11928386540120794,0.08518327310273618,0.4724264705882353,0.4428919937901974,0.5260507880910683,0.5570238957277335,0.5209580838323353,0.5975241545893719,0.6055272727272727,0.6077250177179305,0.6463208685162847
Other Allied Professions,Other Services (except Public Administration),0.005261027923917442,0.012942191544434857,0.010583376355188436,0.1924894957983193,0.28476380572188953,0.4141856392294221,0.24203475742215785,0.34147090434515576,0.3970410628019324,0.2808727272727273,0.35589416489487363,0.4008443908323281
Other Allied Professions,Public Administration,0.31626871711857546,0.19219154443485764,0.1109963861641714,0.1515231092436975,0.14326901752051446,0.13835376532399302,0.1918899348298334,0.1929986181483187,0.21316425120772942,0.2472727272727273,0.25336640680368533,0.20940892641737036
Other Allied Professions,Federal Government,0.05058680696074464,0.07765314926660916,0.07305110996386166,0.22137605042016806,0.2543801286316256,0.3296847635726795,0.26900796524257775,0.33932135728542906,0.34903381642512077,0.35941818181818186,0.3201039451925349,0.2566948130277443
"Functional Support and
Administration","Mining, Quarrying, and Oil and Gas Extraction",0.059692432213678676,0.052847282139775666,0.02632937532266391,0.04280462184873951,0.0,0.0,0.026973207820419953,0.017810532780592636,0.0,0.02589090909090913,0.07547838412473423,0.03823884197828703
"Functional Support and
Administration",Utilities,0.03541076487252125,0.02523727351164797,0.011615900877645843,0.2001050420168068,0.15457972943002884,0.22767075306479867,0.2145184648805213,0.2137263933671119,0.2569444444444444,0.25963636363636367,0.2318686510748878,0.23968636911942093
"Functional Support and
Administration",Construction,0.1357749898826386,0.16781708369283865,0.14429530201342283,0.3429621848739496,0.3994233754712796,0.468476357267951,0.2936278059377262,0.34546292031321973,0.40474033816425115,0.2564363636363637,0.346326482400189,0.4136308805790108
"Functional Support and
Administration",Manufacturing,0.2511129097531364,0.4467213114754099,0.47702632937532274,0.4642857142857143,0.5200709691727655,0.5702714535901927,0.3931933381607531,0.4245355442960233,0.47282608695652173,0.37338181818181815,0.3805811481218993,0.4208685162846803
"Functional Support and
Administration",Wholesale Trade,0.1218130311614731,0.07161345987920623,0.04801239029426949,0.5659138655462185,0.6458194721667775,0.7762697022767077,0.6192976104272265,0.676186089359742,0.8171799516908212,0.6373818181818183,0.6802504134183796,0.778045838359469
"Functional Support and
Administration",Retail Trade,0.03318494536624848,0.04443485763589301,0.03433144037170883,0.40493697478991597,0.5562208915502328,0.7044658493870403,0.40097755249818967,0.5003838476892368,0.6357185990338164,0.4168727272727273,0.5001181195369715,0.6103739445114595
